Rank (Borda),Model,Zero-shot,Total Parameters (B),Mean (Task),Mean (TaskType),AngryTweetsClassification,BornholmBitextMining,DKHateClassification,DanFeverRetrieval,DanishPoliticalCommentsClassification,LccSentimentClassification,MassiveIntentClassification,MassiveScenarioClassification,NordicLangClassification,ScalaClassification,TV2Nordretrieval,TwitterHjerneRetrieval
1,codefuse-ai/F2LLM-v2-14B,83,13.99,75.9,69.61,68.34,55.65,84.56,38.64,52.05,75.87,89.06,94.09,85.19,83.88,96.33,87.19
2,Qwen/Qwen3-Embedding-8B,100,7.567,74.64,74.36,69.75,76.33,85.93,39.7,53.13,76.67,82.71,87.36,91.99,58.95,94.94,78.2
3,google/gemini-embedding-001,100,,72.78,67.91,64.13,51.69,87.02,41.7,52.07,69.93,84.42,89.34,85.97,51.96,97.12,98.02
4,codefuse-ai/F2LLM-v2-8B,83,7.568,74.18,67.04,68.01,50.61,83.4,38.66,50.35,75.27,88.36,93.15,81.95,80.39,95.64,84.4
5,codefuse-ai/F2LLM-v2-4B,83,4.022,72.39,65.72,66.1,50.04,80.76,38.52,48.63,73.93,88.06,93.42,74.69,78.13,94.69,81.71
6,Qwen/Qwen3-Embedding-4B,100,4.022,72.48,71.33,66.67,71.26,84.53,39.83,54.56,76.67,81.55,85.82,90.83,51.88,93.57,72.58
7,codefuse-ai/F2LLM-v2-1.7B,83,1.721,71.21,64.88,64.36,50.19,81.4,38.04,46.19,72.33,87.49,93.33,72.6,75.75,93.49,79.3
8,Salesforce/SFR-Embedding-2_R,100,7.111,66.36,62.67,64.34,50.75,83.5,40.02,39.86,71.4,70.79,83.54,66.98,53.56,94.13,77.4
9,GritLM/GritLM-7B,100,7.24,63.42,61.96,65.35,61.17,73.04,40.48,41.28,70.13,73.38,76.32,69.36,52.29,94.91,43.27
10,codefuse-ai/F2LLM-v2-0.6B,83,0.596,67.59,61.04,62.21,45.66,78.48,37.84,45.39,68.53,84.55,91.8,64.87,69.02,91.4,71.35
11,nicher92/saga-embed_v1,100,0.404,65.2,57.9,63.4,36.03,73.71,38.85,46.22,63.87,69.17,73.66,91.11,52.38,95.89,78.16
12,openai/text-embedding-3-large,-1,,63.83,59.73,57.93,43.56,70.24,39.93,43.42,58.0,69.01,75.57,79.74,50.83,95.19,82.49
13,Cohere/Cohere-embed-multilingual-v3.0,-1,,62.56,56.55,58.84,35.81,68.78,41.36,42.66,60.47,66.69,74.2,78.73,51.0,95.36,76.75
14,voyageai/voyage-finance-2,100,,62.18,59.53,56.32,43.65,66.2,39.83,41.63,60.67,68.12,73.35,58.91,51.17,97.84,88.52
15,codefuse-ai/F2LLM-v2-330M,83,0.334,63.94,58.88,54.66,46.47,77.96,38.05,38.92,61.0,81.7,90.03,59.42,64.79,89.67,64.56
16,voyageai/voyage-multilingual-2,100,,61.73,59.01,55.81,42.69,64.74,39.74,40.97,60.0,67.58,73.17,58.43,51.25,97.68,88.65
16,intfloat/e5-mistral-7b-instruct,100,7.111,60.18,58.35,65.01,57.24,72.07,40.76,34.68,64.53,68.02,73.51,69.13,51.54,92.31,33.4
18,openai/text-embedding-3-large (embed_dim=512),-1,,62.3,57.35,58.47,38.23,67.87,39.41,41.28,57.0,67.69,73.94,75.66,50.68,94.44,82.94
19,Qwen/Qwen3-Embedding-0.6B,100,0.596,62.12,59.73,63.01,54.22,69.33,37.82,43.47,66.0,69.06,60.35,84.32,50.66,87.21,60.04
20,Alibaba-NLP/gte-Qwen2-7B-instruct,-1,7.069,,,64.4,50.16,79.97,,48.46,76.87,78.28,83.95,73.23,53.75,90.93,68.64
21,GritLM/GritLM-8x7B,100,57.92,,,66.86,49.13,72.95,,38.48,69.47,71.24,75.3,73.2,51.32,94.19,79.32
22,voyageai/voyage-3.5 (output_dtype=int8),100,,60.69,58.1,56.74,42.11,65.14,39.84,39.89,60.4,68.44,73.1,48.68,51.13,97.6,85.26
23,voyageai/voyage-code-3,100,,60.54,58.1,56.26,43.06,66.32,39.5,39.89,59.6,67.42,72.96,50.28,50.7,97.85,82.6
24,intfloat/multilingual-e5-large-instruct,100,0.56,59.07,57.62,59.53,55.42,64.5,40.64,33.07,60.27,65.35,71.94,76.57,50.52,94.15,36.85
25,Linq-AI-Research/Linq-Embed-Mistral,100,7.111,,,65.35,55.58,71.19,,42.29,64.0,73.8,76.79,68.9,51.46,94.79,40.84
26,openai/text-embedding-3-small,-1,,59.72,55.94,55.74,41.29,65.53,39.19,39.83,59.4,63.5,70.96,67.89,50.39,92.04,70.88
27,voyageai/voyage-large-2-instruct,100,,59.83,54.84,56.04,34.66,66.47,39.47,38.6,59.2,65.48,76.54,57.16,50.44,94.4,79.5
28,voyageai/voyage-3.5,100,,59.9,57.79,57.41,42.4,64.56,39.88,39.36,62.0,62.23,69.6,47.94,50.49,97.6,85.33
29,Salesforce/SFR-Embedding-Mistral,100,7.111,,,63.94,50.24,70.94,,35.9,63.87,68.38,73.96,68.8,51.31,93.61,76.06
30,voyageai/voyage-law-2,100,,59.68,55.41,55.97,35.64,64.47,39.92,38.52,58.0,63.34,72.29,58.96,50.31,95.05,83.63
31,codefuse-ai/F2LLM-v2-160M,83,0.159,59.09,55.21,54.12,45.41,72.43,37.18,35.67,53.73,74.8,86.3,56.61,51.25,84.36,57.25
32,openai/text-embedding-3-small (embed_dim=512),-1,,58.61,54.25,56.09,38.22,63.8,38.83,39.05,59.0,62.47,69.62,65.59,50.81,90.86,68.97
33,BAAI/bge-m3,100,0.568,56.32,53.03,57.41,44.11,68.6,40.77,41.19,60.47,67.45,74.26,38.93,50.53,94.24,37.82
34,Snowflake/snowflake-arctic-embed-l-v2.0,100,0.568,56.42,52.91,54.1,42.03,66.47,40.67,37.98,58.8,65.53,73.18,49.05,50.76,93.98,44.52
35,intfloat/multilingual-e5-large,100,0.56,,,54.87,44.16,,40.87,38.26,59.4,64.86,70.43,80.15,51.23,95.37,35.22
36,voyageai/voyage-3-lite,100,,57.83,54.95,54.86,40.01,63.89,38.91,37.46,59.93,61.75,69.27,48.92,51.07,95.26,72.66
37,Cohere/Cohere-embed-multilingual-light-v3.0,-1,,57.08,52.6,54.8,36.64,63.56,41.45,36.95,56.53,59.91,67.43,65.97,50.53,90.52,60.68
38,codefuse-ai/F2LLM-v2-80M,83,0.08,57.06,52.07,53.66,41.39,71.76,36.67,36.25,55.8,72.35,85.16,52.71,50.5,81.77,46.68
39,hotchpotch/bekko-embedding-v1-a25m,100,0.123,57.27,57.58,51.96,51.79,66.26,40.42,39.04,58.53,61.89,69.84,38.39,50.35,95.29,63.53
40,KennethEnevoldsen/dfm-sentence-encoder-large,100,0.355,55.96,43.76,54.47,15.93,63.25,37.18,37.8,57.53,66.31,71.13,75.97,68.75,80.81,42.33
41,Lajavaness/bilingual-embedding-large,100,0.56,,,55.9,36.23,62.86,,42.11,61.47,66.68,73.73,71.78,50.57,94.0,73.11
42,intfloat/multilingual-e5-small,100,0.118,56.78,54.25,53.61,43.89,60.97,39.6,34.36,57.8,54.73,62.02,75.15,50.62,90.38,58.18
43,OrdalieTech/Solon-embeddings-large-0.1,-1,0.56,,,54.19,44.94,65.08,,38.56,55.67,66.5,71.83,65.7,50.61,94.67,75.41
44,Alibaba-NLP/gte-Qwen2-1.5B-instruct,-1,1.543,,,60.29,39.79,72.95,,41.27,66.87,65.78,71.64,61.08,50.42,87.02,67.01
45,voyageai/voyage-3,100,,57.74,54.49,54.19,34.63,63.34,39.42,36.53,55.93,59.23,67.62,47.03,50.85,97.43,86.65
46,emillykkejensen/EmbeddingGemma-Scandi-300m,100,0.308,55.37,49.58,53.35,34.39,64.86,39.11,35.63,54.87,64.02,74.98,60.96,50.56,83.11,48.62
47,NbAiLab/nb-sbert-base,100,0.178,54.23,52.89,51.27,51.74,60.4,34.85,37.98,55.6,60.07,65.86,62.76,51.19,73.07,45.98
48,voyageai/voyage-3.5 (output_dtype=binary),100,,58.19,54.5,55.08,34.72,61.12,39.21,38.65,58.07,65.59,70.21,44.58,50.16,96.65,84.19
49,voyageai/voyage-multimodal-3,100,,57.06,54.62,53.84,39.92,63.71,37.86,36.0,53.53,61.15,67.83,49.94,50.62,95.95,74.32
50,jinaai/jina-embeddings-v3,100,0.572,,,61.04,37.28,67.87,,43.24,61.73,72.48,82.97,40.87,50.3,94.26,73.02
51,Alibaba-NLP/gte-Qwen1.5-7B-instruct,-1,7.099,,,66.74,40.62,,,46.89,69.4,68.37,72.74,72.94,56.48,88.38,64.26
52,emillykkejensen/mmBERTscandi-base-embedding,100,0.307,53.77,43.19,53.61,18.92,59.51,28.97,37.11,54.53,63.44,69.78,80.22,52.64,78.84,47.61
53,intfloat/multilingual-e5-base,100,0.278,,,56.28,33.22,,40.42,36.41,60.13,60.55,67.62,75.85,50.94,92.68,42.16
54,Lajavaness/bilingual-embedding-base,100,0.278,,,53.59,32.83,61.61,,38.59,59.13,62.19,70.47,74.71,50.72,92.08,64.75
55,voyageai/voyage-code-2,100,,55.81,50.01,54.33,27.19,61.22,37.81,33.56,53.93,58.23,68.73,58.01,50.41,91.53,74.83
56,NovaSearch/stella_en_1.5B_v5,100,1.54,,,57.09,47.65,67.33,,34.35,56.73,60.54,71.02,55.09,50.49,85.56,45.02
57,KennethEnevoldsen/dfm-sentence-encoder-medium,100,0.124,49.56,44.38,48.16,37.63,60.61,30.98,36.44,45.93,59.27,64.13,65.02,53.34,51.69,41.54
58,hotchpotch/bekko-embedding-v1-a8m,100,0.106,54.5,54.82,50.28,49.18,65.08,40.52,34.97,52.13,57.9,65.98,38.21,49.94,93.13,56.72
59,nvidia/NV-Embed-v2,100,7.85,,,51.34,43.37,,,38.44,54.67,68.25,73.03,71.74,50.66,92.1,45.57
60,sentence-transformers/LaBSE,100,0.471,48.51,46.26,51.11,45.63,62.8,34.54,38.34,50.07,58.18,64.74,35.39,50.61,76.3,14.38
61,Lajavaness/bilingual-embedding-small,100,0.118,,,50.95,41.32,59.7,,36.7,55.33,61.66,68.16,64.33,50.25,89.48,38.1
62,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100,0.278,51.2,41.5,54.84,18.18,63.77,37.56,40.96,58.4,62.96,71.02,41.57,50.03,78.37,36.68
63,HIT-TMG/KaLM-embedding-multilingual-mini-v1,83,0.494,,,51.46,42.86,62.95,,34.8,51.87,53.24,61.74,62.4,50.57,89.59,23.3
64,emillykkejensen/Qwen3-Embedding-Scandi-0.6B,100,0.596,49.48,42.53,47.8,27.09,57.36,32.35,30.87,45.93,57.75,63.2,70.85,50.47,70.56,39.51
65,manu/bge-m3-custom-fr,100,0.568,,,54.74,46.65,,,40.72,56.2,67.46,75.78,40.2,50.7,94.93,31.47
66,rasgaard/m2v-dfm-large,100,0.023,49.78,37.99,52.52,11.61,65.14,34.36,35.66,51.33,56.08,63.24,71.87,50.05,72.04,33.45
67,voyageai/voyage-large-2,100,,51.3,44.77,48.91,21.47,62.74,37.93,30.8,43.67,49.44,68.73,54.6,50.11,87.74,59.47
68,nvidia/NV-Embed-v1,100,7.85,,,53.18,32.12,,,36.33,53.73,65.0,70.84,66.9,50.69,92.73,45.52
69,Haon-Chen/speed-embedding-7b-instruct,-1,7.111,,,52.61,18.17,62.46,,32.52,52.73,58.47,61.87,73.7,53.48,76.85,15.07
70,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,83,0.494,,,52.34,38.66,60.52,,33.81,49.87,52.49,61.63,60.43,50.33,79.92,34.23
